tecnica_norm,n_fichas,n_mujeres,n_hombres,edad_prom,estados,ceremonia_principal,n_ceremonia_principal,ceremonias_resumen,prenda_principal,n_prenda_principal,prendas_resumen,n_aprendio_madre,n_aprendio_abuela,n_aprendio_tia,n_aprendio_hermana,n_aprendio_cunada,n_aprendio_instructor,n_aprendio_otro,n_aprendio_padre,n_no_ha_ensenado,n_ens_hijas,n_ens_nietos,n_ens_sobrinos,n_ens_pareja,n_ens_estudiantes,n_ens_otra,n_ens_hijos,n_man_mano,n_man_pedal,n_man_telar,n_man_mixta,n_man_otra,n_man_tejido,n_man_telar_pedal,n_tenido_plantas,n_tenido_minerales,n_tenido_animales,n_tenido_otro,Tecnica,count,Materiales_concat_clean,uuid
Cadeneta o cadenilla,23,20,3,44.0434782608696,"Chiapas, Oaxaca, Sonora, Tabasco, Yucatán",Bodas,3.0,"Bodas (3); Boda (2); Fiesta patronal (2); Actos religiosos (1); Actualmente se lleva más puesto en Guelaguetza ( porque el.huipil lo portan ajustado al cuerpo, y el.holan qué usan es el tehuano y no el de ixtaltepec) (1); Bautizo. (1); Bautizos (1); Blusas (1); Boda Civil para la novia exclusivamente (1); Boda y fiestas tradicional del pueblo (1); Bodas. (1); Capas (1); Ceremonia de la pubertad cuando la mujer comienza a menstruar (1); Ceremonias culturales (1); Ceremonias religiosa (1); Ceremonias tradicionales (1); Cuando lo aplicamos en el traje en fiestas como bodas, cumpleaños (1); Cumpleaños (1); Cumpleaños ( la cumpleañera) (1); Diario si tiene poco bordado (1); El enrredo con el huipilon en fiestas patronales o eventos culturales (1); El huipil de tres lienzos se considera como huipil de gala que es utizado para bodas por la raza Mixteca de Santiago pinotepa nacional Oaxaca (1); En bodas (1); En fiesta (1); Enredo tradicional y huipil (fiestas patronales o de carácter religioso) (1); Fiesta de la Canasta Grande para la abundancia de laartesana (1); Fiestas (1); Fiestas importantes de la comunidad (1); Fiestas patronal (1); Fiestas patronales (1); Fiestas tradicionales (1); Homenaje cívicos de las escuela (1); Huipil de boda (1); La raza Mixteca lo utiliza de mortaja al momento de morir (1); Las camisas con aplicado de tiras (guayaberas) en bodas o fiestas (1); Los huipiles de tres cadenillas o de un golpe se usan también en eventos especiales (1); Los huipiles de tres lienzos son utilizados para ceremonias de boda de la raza Mixteca de Santiago pinotepa nacional Oaxaca (1); Los huipiles se utilizan de mortaja al momento de morir la persona (1); Maordomia (1); Mayordomias (1); Mayordomos patronales (1); Mayordomía. (1); Quince años (1); Regada de frutas (1); Rituales (1); Trajes regionales en eventos religiosos y fiestas patronales (1); Uso diario (1); Velas. (1)",Huipiles,6.0,"Huipiles (6); Blusas (5); Guayaberas (5); Huipil (4); Cojines (3); Bolsas (2); Camisas (2); Faldas (2); Fundas (2); Playeras (2); Abanicos (1); Aplicaciones de pecheras (1); Aplicaciones para guayabera , playeras, camisas y vestidos (1); Blusa (1); Blusas con cuellos bordados (1); Blusas. (1); Blusones bordados con cuellos (1); Bolsa (1); Bolsas para amuletos de protección (1); Bolsas. (1); Bordado en tiras para camisa con los diseños tradicional (1); Bordados en blusas (1); Bordar el cuello del huipil es de una pieza (1); Camisa (1); Camisas. (1); Capas (1); Chamarras (1); Colchas (1); Collares de tela con bordados (1); Corsett (1); Coton (1); Cotones (1); En accesorios (1); En trajes que se usa en las velas. (1); Enagua medio circular (1); Enaguas (1); Enredo tradicional (rojo y morado) (1); Enrredo rojo y morado de telar (1); Estandartes (1); Faldas. (1); Fundas de almohada (1); Huipil de 3 filas (en medio flor) flor de cuatro pétalos, flor de manita (ahora maguey)  de margaritas y más (1); Huipil de gala de pinotepa (1); Huipil de tres cadenillas( barajas ,dibujos,grecas) (1); Huipil de tres lienzos (1); Huipil de un golpe de diferentes dibujos (1); Huipil de un lienzo o de una sola pieza (1); Huipil tradicional (del enredo) (1); Huipiles de 3 cadenillas (de baraja de greca etc) (1); Huipiles de tres filas y la de en medio es de flores ya sea flor de manita, margarita, rosas (1); Huipiles de un un golpe lleno (1); Huipiles sencillos (rejitas) (líneas) (1); Huipiles. (1); Huipilon rojo y morado de telar (1); Manteles (1); Mañanitas (1); Monederos (1); Pañuelos (1); Playeras con cadenilla (nueva adaptada) (1); Rebozod (1); Regitas de diferentes diseños y combinaciones (1); Sacos (1); Separadores de libros (1); Servilletas / tortilleros (1); Servilletas, (1); Sobrecama (1); Ternos (1); Tiras de cadenilla (para aplicación de camisas) (1); Tiras para sombreros (1); Traje Regional (1); Traje completo (1); Traje regional de gala (1); Trajes del istmo de Tehuantepec (1); Trajes regionales (1); Trajes tradicionales de tehuanas (1); Vestido (1); Vestido, blusas (1); Vestido. (1); Vestidos (1); bordar el cuello del huipil de tres lienzos (1); collares de bordado con relleno de salvia (1)",12,3,6,2,1,2,0,0,3,8,0,3,4,2,5,6,18,8,2,1,0,0,0,0,0,1,3,Cadeneta o cadenilla,23.0,"estambre, algodón, hilasa, máquina de bordar, tela blanca o de color, hilo iris para bordar, aro e hilera. a mano tela, tela, aro, aguja, hilo lino o estambre, telas (de distintas texturas), hilos (principalmente seda) (algodón en ocasiones), una maquina de cadenilla de pedal, hilo, y aguja capotera, maquina de cadeneta, hilo delgado de cañuto, telas de seda o seda, hilo de algodón, listón oh razo, utilizo telar, tela industrial, hilo seda y una máquina de pedal que se maneja con pies y mano, hilo de algodón natural, o de algodón, hilos mercerizado: hilos perle de algodón puro num 8 e hilos de seda, telar de cintura y listone, máquina de pedal, hilo mercerizado, telas comerciale, lienzos de telar de mitla, listone, y telar de cintura, tijera, listo y el telar de cintura donde se bordara el cabello, se utiliza hilo seda.aguja.telar de cintura, liston para bordar los animalitos que es la flora y fauna de la region e, fuego es cocido, hilos encajes telas de seda terciopelo etc, tela e hilo seda rayón mercerizado, gancho o ganchillo e hilos perle algodón telas terciopelo, manta, razo, y lino, hilo y aguja",f85885ac-85f5-5590-9ccf-c4aef86a92d0
Calado,2,2,0,54.0,Yucatán,Bautizo,1.0,"Bautizo (1); Boda (1); Fiestas patronales (1); Todos los eventos religiosos,y ocasiones especiales  asta en el día de la muerte (1)",Blusas,1.0,"Blusas (1); Faldas (1); Hipiles (1); Huipiles ,blusas , ternos (1); Pañuelos (1); Ternos (1)",2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,Calado,2.0,"tela, hilo, hilera, aro, lápiz máquina 20u, tijeras reglas cinta métrica aguja, encajes plancha, aguja y tijera",8b62a172-f6a5-59b4-927a-ae714058e04c
Canahuate,1,1,0,56.0,Oaxaca,En fiestas patronales y bodas bautizos,1.0,En fiestas patronales y bodas bautizos (1),Huipiles blusas camisas vestidos,1.0,Huipiles blusas camisas vestidos (1),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Canahuate,1.0,que una puntada ancestral,8d83ca5a-07f7-502b-8aa6-a884228374f6
Cocoleado,1,0,1,33.0,Puebla,"Ahora se implementa en camiseros de caballero como camisas casuales, guayaberas, faldas, blusas modernas, vestidos",1.0,"Ahora se implementa en camiseros de caballero como camisas casuales, guayaberas, faldas, blusas modernas, vestidos (1); Se usaba para uso diario como cualquier otra prenda (1)",Vestimenta tradicional de la mujer totonaca,1.0,Vestimenta tradicional de la mujer totonaca (1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Cocoleado,1.0,hilo de costura,ceae6087-c60c-5171-9493-ec05970a6729
Contabilidad y vuelta por hilo,5,2,3,47.0,"Guanajuato, México, Oaxaca, Puebla",Carnaval,1.0,Carnaval (1); Coton (1); El 10 de mayo (1); En eventos en la escuela (1); Es de uso diario (1); Es de uso diario o común (1); Huipiles (1); No (1),Blusas,2.0,Blusas (2); Cobijas (2); Cotorinas (2); Gabanes (2); Rebosos (2); Ruanas (2); Tapetes (2); Bolsas (1); Camisas (1); Chamarra (1); Cotorina (1); Cotón (1); Crop top (1); Gaban (1); Huipiles (1); Kexkemetl (1); Morrales (1); Pantalones (1); Playeras (1); Quexquémetl (1); Servilletas (1); Vestidos (1),2,3,1,0,1,0,0,0,0,1,0,0,2,0,0,4,2,0,0,0,0,0,3,3,2,0,1,Contabilidad y vuelta por hilo,5.0,"hilo de estambre y cuadrille y aguja y aros y tela popelina, lana de borrego, lana, alpaca, seda, algodon, en lana de borrego, tela industrial, tejida de manera artesanal en telar de cintura y telar de pedal. hilo, aro, aguja, tijera",020a1a78-7a28-5f63-9b1b-b3d38f531163
Contado,1,0,1,42.0,Veracruz De Ignacio De La Llave,Faja,1.0,Faja (1); Rebozo (1),Faja,1.0,Faja (1); Rebozo (1),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Contado,1.0,pero con el tiempo se dieron cuenta que servía para teñir en verde o azul claro,804e7428-56ff-5a40-b2a0-777f77475a32
Discontinuo,1,1,0,27.0,Oaxaca,Boda,1.0,Boda (1); Fiestas patronales (1),Camisa,1.0,Camisa (1); Huipiles (1); Lienzo (1),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Discontinuo,1.0,"pericon, palo de campeche",d78c2765-d4a1-522b-a9f9-b20e57dc2f04
Costilla de ratón,2,2,0,37.5,"Hidalgo, Sonora",Camisas,1.0,"Camisas (1); Chamarras (1); Eventos del pueblo como fiestas patrias (1); Lienzos. Caminos y manteleria (1); Pantalon (1); Quezqueme (1); Rebozos (1); Ropa de bebe (1); Vestidos,, (1)",Vestimenta tradicional,1.0,Vestimenta tradicional (1); Yumare fiesta tradicional (1),0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,Costilla de ratón,2.0,"hilo de algodón, manta, hilo, plumón para pintar a mano alzada, aguja, y batido",aec60ccb-6f84-5a1e-969b-0d5f9c7e5d39
Costura,2,2,0,27.0,Chihuahua,Bariceo semana santa,1.0,Bariceo semana santa (1); Dentro de la comunidad (1); Fiestas tradicionales (1); Matachin diciembre (1); Ocasiones especiales personales (1),Blusa,1.0,Blusa (1); Blusas (1); Falda (1); Faldas (1); Fondo (1); Gorro para bebe (1); Huares (1); Tagora para hombre (1); Todas las telas que se puedan coser etc (1),2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,Costura,2.0,"tela industrial, popelina, algodon, manta, hilo, aguja, de diferentes colore",2404fbe1-b227-50a3-980f-322df5f1b20b
Croché,3,2,1,30.0,"Oaxaca, Puebla",Boda y entierros funebres,1.0,"Boda y entierros funebres (1); Bodas (1); Bodas, mayordomía, tititlatos , entierros funebres calendas y fiestas patronales (1); Calendas, fiestas patronales (1); Eventos culturales (1); Fiestas patronales (1); Misas (1); Vida cotidiana (del diario). (1)",Blusa,1.0,Blusa (1); Bufandas (1); Camisas (1); Capas (1); Cintas (1); Faja de cintura (1); Faldas (1); Gorros (1); Morrales (1); Nahuas (1); Quiskemetl (1); Refajo (1); Valerinas (1); Vestido (1),1,2,0,0,0,1,0,0,0,1,0,0,1,0,2,0,3,0,1,1,0,0,0,2,2,2,0,Croché,3.0,"agua, planta, hilo mercerizado, lana",b265a438-7b32-5875-8ad3-fe136cb57bce
Cuera tamaulipeca y talabarteria,1,1,0,74.0,Tamaulipas,Todos los huapangueros,1.0,Todos los huapangueros (1),Bolsas,1.0,Bolsas (1); Chamarras (1); Coton (1); Cueras (1); Mañanitas (1),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,Cuera tamaulipeca y talabarteria,1.0,,9da93de1-3de0-5788-9be8-bda2c7265558
Culebrilla,1,0,1,31.0,Chiapas,Bautizos,1.0,Bautizos (1); Eventos de gala (1); Festividades patronales (1),Bolsas,1.0,"Bolsas (1); Chamarras (1); Cojines (1); Estolas (1); Faldas (1); Guayaberas y camisas (1); Huipiles , blusas (1); Monederos (1); Pantalones (1); Rebozos (1)",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Culebrilla,1.0,"manta, lino, seda, rayón y en telar de cintura … en el caso de bordado usamos estambre acrilan 3 hebra, hilo de algodón, rayón",f5e3fd93-7279-50d0-8401-afb90ee6a60f
Hilado con malacate,1,1,0,32.0,Puebla,Fiestas patronales,1.0,Fiestas patronales (1),Lienzo,1.0,Lienzo (1),1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,Hilado con malacate,1.0,un malacate,99487bb5-7add-57d7-b9d0-04c838c774ab
Otras,1,1,0,23.0,Oaxaca,Para portar el traje típico,1.0,Para portar el traje típico (1),Huipiles,1.0,Huipiles (1); Rebozos (1); Servilletas (1),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Otras,1.0,estambres y el telar de cintura con el juego de madera,495cc9cc-bce5-59c8-9626-7b19d12f7d9d
Ju ech'el o tamulamb'il,1,1,0,36.0,Chiapas,Ceremonias católicas de la iglesias,1.0,Ceremonias católicas de la iglesias (1); Eventos políticos de gobierno (1); Fiestas patronales (1),Para los alferez,1.0,Para los alferez (1); Para ropa de novios (1),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Ju ech'el o tamulamb'il,1.0,"hilo vela o hilaza, hilo de algodón, aguja, y manta normalmente",9e5721ed-2b4d-59c4-8246-f80018714a7a
Deshilado,13,11,2,51.75,"Aguascalientes, Chiapas, Michoacán De Ocampo, Oaxaca, Puebla, Querétaro",Bautizo,2.0,Bautizo (2); Boda (2); Bodas (2); Bautismo (1); Bautizos (1); Clausuras (1); Comuniones (1); Confirmaciones (1); Desfile de domingo de ramos (1); Domingo de Ramos (1); Eventos de gala (1); Eventos sociales (1); Festivales (1); Festividades patronales (1); Fiesta patronal (1); Misa (1); Para vestir del diario (1); Presentaciones (1); Primeras comunión (1); Recordatorio de eventos (1); Vestuario de el diario (1); bodas quise años bautizó regalos personnal (1),Manteles,3.0,"Manteles (3); Rebozos (3); Blusas (2); Bolsas (2); Caminos de mesa (2); Camisa (2); Faldas (2); Pantalones (2); Rebozo (2); Vestido (2); Albas (1); Blusa (1); Blusas de mujer (1); Blusas, deshilado o burgalesa (1); Bufandas (1); CAMISAS (1); Camisa de hombre (1); Camisetas de novio (1); Centros de mesa (1); Chalina (1); Chamarras (1); Cojines (1); Cortinas (1); En fiestas  y como vestuario tradicional (1); Estolas (1); FUNDAS Y CORTINAS (1); Faldas, deshilado y bordado (1); Guallabera (1); Guanengos de mujer (1); Guayaberas y camisas (1); HUIPILES (LARGOS Y CORTOS) (1); Huipil (1); Huipiles , blusas (1); MANTELES (1); Mantel (1); Mantelería, deshilado (1); Monederos (1); Pantalón para novios (1); Pañuelos (1); Purificador (1); Quexquemilt (1); Reboso , (1); Ropon (1); Ropón de bautizo (1); Sabana (1); Sacos (1); Servilleta (1); Servilletas (1); Thomicoton (1); Traje de Tolimán, Randa, telar de cintura y listones (1); VESTIDO TRADICIONAL (1); Vestido de novia (1); Vestidos de primera comunión (1); Vestidos se novia ropones prendas de caballero (1); bodas bautizos quinsiañerasuso personal (1); fiesta del pueblo (1)",13,4,2,1,0,0,0,1,0,7,2,3,2,2,6,4,12,0,1,1,1,2,0,2,0,0,0,Deshilado,13.0,"aro, aguja, hilo, navaja, tijeras y telas de algodón, tela, cinta, tijera, aro o bastidor, descosedor y tijera, cinta métrica, descosedor, manta, lino, seda, rayón y en telar de cintura … en el caso de bordado usamos estambre acrilan 3 hebra, hilo de algodón, rayón, tela de manta, tela lino, bola de hilaza número 3 blanca, bramante blanca (30 metros), anteriormente la popelina o manta. ahora se innova usando lino, aro hilo aguja tijera descosedor, tela aro hilo agujas tijeras cintadescosedor, hilaza, tela de bramante",b2ad7c64-74cc-53f8-9112-806b36e757fb
Deslizado,1,1,0,37.0,Yucatán,Ceremonia culturales,1.0,Ceremonia culturales (1); Ceremonia religiosa (1); Ceremonia tradicional (1); Pasarelas (1),Almohadas,1.0,Almohadas (1); Aretes (1); Blusas (1); Estandartes/ cuadros (1); Huipiles (1); Pañales (1); Servilletas (1); Sábanas y sobrecamas (1); Ternos  etc (1); Vestidos (1),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Deslizado,1.0,"máquina industrial para bordar, tela blanca o de color, hilos iris para bordar e hilera",27c3117b-b711-5ce2-9acf-f7e4daea7143
Dibujo de ika,1,1,0,52.0,México,Eventos especiales,1.0,Eventos especiales (1); Fiestas patronales (1); Procesiones (1),Chalecos,1.0,Chalecos (1); Rebozos (1); Ruanas (1),1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,Dibujo de ika,1.0,algodón,1277783b-74d1-5620-80a8-1aeb6ebfa607
Horquilla,1,1,0,36.0,Oaxaca,Fandango,1.0,Fandango (1),Blusas,1.0,Blusas (1); Fustanes (1),1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Horquilla,1.0,"horquilla, gancho e hilo",9b81d602-4c43-59cb-8b50-05deaa55548b
Empuntado,1,1,0,42.0,México,En las fiestas del pueblo,1.0,En las fiestas del pueblo (1); Para ir a misa (1); Uso diario (1),Blusas,1.0,Blusas (1); Camisas (1); Guipil (1); Joyería (1); Quexquemetl (1); Vestidos (1),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Empuntado,1.0,el lienzo k es el revozo,f5a57149-1632-510e-9958-745736558453
Enrollado,2,1,1,44.0,"Chiapas, Quintana Roo",Se hace la ceremonia empezando y terminado dando gracias de haber terminadoa,1.0,Se hace la ceremonia empezando y terminado dando gracias de haber terminadoa (1); evento religiosa (1),Cevilletas,1.0,Cevilletas (1); En hipil  en camisas y blusas (1); Huipiles (1); blusas (1); camisas (1); manteles (1); tapentes (1),2,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,2,0,0,0,0,0,0,1,0,0,1,Enrollado,2.0,"lino y algodón, tela caneva hilos aro aguja",ef3672e1-3c0f-557f-9d61-42b24fe420e2
Filigrana,1,1,0,28.0,Aguascalientes,Bautizo,1.0,Bautizo (1); Bautizo y para vestir al niño Jesús (1); Bautizos (1); Ceremonia religiosa (1); Mantelería y deciracion (1),Conjunto deshilado,1.0,Conjunto deshilado (1); Guayabera (1); Huipil (1); Mantel (1); Vestido bautizo (1),1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Filigrana,1.0,lino de algodón e hilo de álgodon,5d785c9b-499e-5e44-b3c2-7f45598109dd
Flor de margarita,1,1,0,,Oaxaca,Bodas,1.0,Bodas (1); Ceremonias de comunidad (1); Fiestas patronales (1); Graduaciones (1); Vestuario diario (1),Blusas tradicionales de valla,1.0,Blusas tradicionales de valla (1); Camisas (1); Cortinas (1); En uhipiles largos y cortos (1); Manteles (1),1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Flor de margarita,1.0,,3e3f6847-4371-5c4e-b7d8-703c449e701d
Flor de palma,1,1,0,53.0,Chiapas,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,Flor de palma,1.0,telar desintura algodón y artisela,4bf45e10-553c-536b-b788-caa8abcf32c8
Jun,1,1,0,60.0,Veracruz De Ignacio De La Llave,Corona de espinas,1.0,Corona de espinas (1),Blusa tipica,1.0,Blusa tipica (1),1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Jun,1.0,hilo de algodón y manta,66ef0ff3-c2f5-5080-a6bb-6addc856270e
Kuil,1,1,0,21.0,Chiapas,Ceremoniales de santos patronales,1.0,Ceremoniales de santos patronales (1),Tradicional se utiliza en fiestas cultural y tradicional,1.0,Tradicional se utiliza en fiestas cultural y tradicional (1),0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kuil,1.0,telar de cintura bordado a mano palos y aguja,0ced9db3-7d00-5953-847c-09261b19a594
Gasa fina y técnica de gasa,6,5,1,43.0,"Guerrero, Jalisco, Michoacán De Ocampo, Puebla",Fiestas patronales,2.0,"Fiestas patronales (2); Ceremonias bodas bautizos ocasiones especiales (1); El quexquemel es el complemento del traje tradicional de la mujer maseual (1); En eventos especiales, en fiestas especiales de la mujer (1); Entrega de ofrendas (1); Fiestas patronales en septiembre (1); Funcion y velación de los santos  rosarios (1); Romeria (1)",Rebozo,3.0,"Rebozo (3); Blusa (2); Blusas (2); Bestidos (1); Blusas,camisas (1); Camino de mesa (1); En la técnica en gasa (1); Fufandas (1); Huipil (1); Huipiles (1); Joloton (1); Mantelería (1); Rebozos (1); Vestidos (1)",4,2,1,0,0,0,0,1,0,3,0,2,0,1,3,0,2,0,4,0,0,0,0,3,1,2,0,Gasa fina y técnica de gasa,6.0,"el juego de telar y hilo de algodón, manejo algodón marca omega, algodón, gasa, hilo de algodón natural, hilo de algodón, lana y seda, el telar de madera, 3arumo, 1rodador, 1 varita o tatsukua 1 tejamanil 2 clavos y la patakua o machete",248dbf86-3dc8-56c6-8b65-1be682460586
Hazme si puedes,3,2,1,52.6666666666667,Oaxaca,Bodas y mayordomía,1.0,Bodas y mayordomía (1); Fiesta de los lunes del cerro (1); Fiestas tradicionales (1); Mayordomía (1),Blusas y camisas de caballero,1.0,"Blusas y camisas de caballero (1); Bufandas (1); Camino de mesa (1); Cojines (1); Cortinas, carteras, bolsas, aretes (1); Manteles (1); Pie de cama (1); Rebosos (1); Servilletas (1); Tradicional (1); Vestidos (1)",1,0,2,0,0,0,0,0,0,1,2,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,Hazme si puedes,3.0,"aguja e hilo de algodón, lino, popelina, manta, rayón, hilo de seda, hilo de algodón hilo omega",07fdd459-36d3-514e-840e-f00f406e194d
Tenerife,1,1,0,49.0,Campeche,,,,,,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Tenerife,1.0,tela hilos tijeras papel para molde,a087f30e-9764-5294-aa1e-400b54b7fb09
Hilo contado,3,3,0,44.3333333333333,Yucatán,Bodas,1.0,Bodas (1); Fiestas tradicionales (1); Reuniones no formales (1); Vaquería (1); XV años (1); gremios (1); jesmek (1),Vestidos,2.0,Vestidos (2); Aretes (1); Blusas (1); Camisas (1); Forros para agendas (1); Guayaberas (1); Guayaveras (1); Hipiles (1); Huipiles (1); Moños para el cabello (1); Separadores de libros (1); Vestidos de XV años (1); blusas (1); bodas (1); graduación (1); hipiles (1); pañales (1); primera comunión (1); servilletas (1); ternos (1); vestidos (1),1,1,0,0,0,1,0,0,0,2,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,Hilo contado,3.0,"tela, hilo de algodón, caneva o malla, aguja, hilo, canevá, patrón del dibujo, caneva o canneva maya hilos tela",e83b249a-9f7e-57e1-a7ad-4b488fe1dff2
