tecnica_norm,n_fichas,n_mujeres,n_hombres,edad_prom,estados,ceremonia_principal,ceremonias_resumen,prenda_principal,prendas_resumen,n_aprendio_madre,n_aprendio_abuela,n_aprendio_tia,n_aprendio_hermana,n_aprendio_cunada,n_aprendio_instructor,n_aprendio_otro,n_aprendio_padre,n_no_ha_ensenado,n_ens_hijas,n_ens_nietos,n_ens_sobrinos,n_ens_pareja,n_ens_estudiantes,n_ens_otra,n_ens_hijos,n_man_mano,n_man_pedal,n_man_telar,n_man_mixta,n_man_otra,n_tenido_plantas,n_tenido_minerales,n_tenido_animales,n_tenido_otro
Culebrilla,1,0,1,31,Chiapas,Bautizos,Bautizos (1); Eventos de gala (1); Festividades patronales (1),Bolsas,"Bolsas (1); Chamarras (1); Cojines (1); Estolas (1); Faldas (1); Guayaberas y camisas (1); Huipiles , blusas (1); Monederos (1); Pantalones (1); Rebozos (1)",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Deshilado,13,11,2,52,"Aguascalientes, Chiapas, Michoacán De Ocampo, Oaxaca, Puebla, Querétaro",Bautizo,Bautizo (2); Boda (2); Bodas (2); Bautismo (1); Bautizos (1); Clausuras (1); Comuniones (1); Confirmaciones (1); Desfile de domingo de ramos (1); Domingo de Ramos (1); Eventos de gala (1); Eventos sociales (1); Festivales (1); Festividades patronales (1); Fiesta patronal (1); Misa (1); Para vestir del diario (1); Presentaciones (1); Primeras comunión (1); Recordatorio de eventos (1); Vestuario de el diario (1); bodas quise años bautizó regalos personnal (1),Manteles,"Manteles (3); Rebozos (3); Blusas (2); Bolsas (2); Caminos de mesa (2); Camisa (2); Faldas (2); Pantalones (2); Rebozo (2); Vestido (2); Albas (1); Blusa (1); Blusas de mujer (1); Blusas, deshilado o burgalesa (1); Bufandas (1); CAMISAS (1); Camisa de hombre (1); Camisetas de novio (1); Centros de mesa (1); Chalina (1); Chamarras (1); Cojines (1); Cortinas (1); En fiestas  y como vestuario tradicional (1); Estolas (1); FUNDAS Y CORTINAS (1); Faldas, deshilado y bordado (1); Guallabera (1); Guanengos de mujer (1); Guayaberas y camisas (1); HUIPILES (LARGOS Y CORTOS) (1); Huipil (1); Huipiles , blusas (1); MANTELES (1); Mantel (1); Mantelería, deshilado (1); Monederos (1); Pantalón para novios (1); Pañuelos (1); Purificador (1); Quexquemilt (1); Reboso , (1); Ropon (1); Ropón de bautizo (1); Sabana (1); Sacos (1); Servilleta (1); Servilletas (1); Thomicoton (1); Traje de Tolimán, Randa, telar de cintura y listones (1); VESTIDO TRADICIONAL (1); Vestido de novia (1); Vestidos de primera comunión (1); Vestidos se novia ropones prendas de caballero (1); bodas bautizos quinsiañerasuso personal (1); fiesta del pueblo (1)",13,4,2,1,0,0,0,1,0,7,2,3,2,2,6,4,12,0,1,1,1,2,0,0,0
Deslizado,1,1,0,37,Yucatán,Ceremonia culturales,Ceremonia culturales (1); Ceremonia religiosa (1); Ceremonia tradicional (1); Pasarelas (1),Almohadas,Almohadas (1); Aretes (1); Blusas (1); Estandartes/ cuadros (1); Huipiles (1); Pañales (1); Servilletas (1); Sábanas y sobrecamas (1); Ternos  etc (1); Vestidos (1),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Dibujo de ika,1,1,0,52,México,Eventos especiales,Eventos especiales (1); Fiestas patronales (1); Procesiones (1),Chalecos,Chalecos (1); Rebozos (1); Ruanas (1),1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
Discontinuo,1,1,0,27,Oaxaca,Boda,Boda (1); Fiestas patronales (1),Camisa,Camisa (1); Huipiles (1); Lienzo (1),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
Empuntado,1,1,0,42,México,En las fiestas del pueblo,En las fiestas del pueblo (1); Para ir a misa (1); Uso diario (1),Blusas,Blusas (1); Camisas (1); Guipil (1); Joyería (1); Quexquemetl (1); Vestidos (1),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Enrollado,2,1,1,44,"Chiapas, Quintana Roo",Se hace la ceremonia empezando y terminado dando gracias de haber terminadoa,Se hace la ceremonia empezando y terminado dando gracias de haber terminadoa (1); evento religiosa (1),Cevilletas,Cevilletas (1); En hipil  en camisas y blusas (1); Huipiles (1); blusas (1); camisas (1); manteles (1); tapentes (1),2,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,2,0,0,0,0,1,0,0,1
Faja,1,1,0,48,Chihuahua,NA,NA,Blusas,Blusas (1); Faldas (1),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Fibra vegetal de maguey ixtle,1,1,0,49,Hidalgo,Danzas (ixtle),"Danzas (ixtle) (1); Eventos como ceremonias, danzas (ixtle) va bots (1)","Accesorios (aretes, collares)","Accesorios (aretes, collares) (1); Blusas (1); Bolsas (1); Carteras (1); Cinturones (1); Escobetillas (1); Manteles (1); Monederos (1); estropajos para baños (1)",0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0
Filigrana,1,1,0,28,Aguascalientes,Bautizo,Bautizo (1); Bautizo y para vestir al niño Jesús (1); Bautizos (1); Ceremonia religiosa (1); Mantelería y deciracion (1),Conjunto deshilado,Conjunto deshilado (1); Guayabera (1); Huipil (1); Mantel (1); Vestido bautizo (1),1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Flor de margarita,1,1,0,NA,Oaxaca,Bodas,Bodas (1); Ceremonias de comunidad (1); Fiestas patronales (1); Graduaciones (1); Vestuario diario (1),Blusas tradicionales de valla,Blusas tradicionales de valla (1); Camisas (1); Cortinas (1); En uhipiles largos y cortos (1); Manteles (1),1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Flor de palma,1,1,0,53,Chiapas,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
Gasa fina,4,4,0,41,"Guerrero, Puebla",El quexquemel es el complemento del traje tradicional de la mujer maseual,"El quexquemel es el complemento del traje tradicional de la mujer maseual (1); En eventos especiales, en fiestas especiales de la mujer (1); Fiestas patronales (1); Fiestas patronales en septiembre (1)",Blusas,Blusas (2); Bestidos (1); Blusa (1); Camino de mesa (1); En la técnica en gasa (1); Fufandas (1); Huipil (1); Huipiles (1); Rebozo (1); Rebozos (1),3,2,0,0,0,0,0,0,0,2,0,1,0,1,2,0,2,0,2,0,0,1,0,0,0
Gasa fina y técnica de gasa,2,1,1,47,"Jalisco, Michoacán De Ocampo",Ceremonias bodas bautizos ocasiones especiales,Ceremonias bodas bautizos ocasiones especiales (1); Entrega de ofrendas (1); Fiestas patronales (1); Funcion y velación de los santos  rosarios (1); Romeria (1),Rebozo,"Rebozo (2); Blusa (1); Blusas,camisas (1); Joloton (1); Mantelería (1); Vestidos (1)",1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,2,0,0,2,1,2,0
Hazme si puedes,3,2,1,53,Oaxaca,Bodas y mayordomía,Bodas y mayordomía (1); Fiesta de los lunes del cerro (1); Fiestas tradicionales (1); Mayordomía (1),Blusas y camisas de caballero,"Blusas y camisas de caballero (1); Bufandas (1); Camino de mesa (1); Cojines (1); Cortinas, carteras, bolsas, aretes (1); Manteles (1); Pie de cama (1); Rebosos (1); Servilletas (1); Tradicional (1); Vestidos (1)",1,0,2,0,0,0,0,0,0,1,2,1,0,1,1,0,1,0,0,0,0,1,0,0,0
Hilado con malacate,1,1,0,32,Puebla,Fiestas patronales,Fiestas patronales (1),Lienzo,Lienzo (1),1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0
Hilo contado,3,3,0,44,Yucatán,Bodas,Bodas (1); Fiestas tradicionales (1); Reuniones no formales (1); Vaquería (1); XV años (1); gremios (1); jesmek (1),Vestidos,Vestidos (2); Aretes (1); Blusas (1); Camisas (1); Forros para agendas (1); Guayaberas (1); Guayaveras (1); Hipiles (1); Huipiles (1); Moños para el cabello (1); Separadores de libros (1); Vestidos de XV años (1); blusas (1); bodas (1); graduación (1); hipiles (1); pañales (1); primera comunión (1); servilletas (1); ternos (1); vestidos (1),1,1,0,0,0,1,0,0,0,2,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0
Hilván,27,24,3,46,"Campeche, Chiapas, Chihuahua, Hidalgo, México, Oaxaca, Puebla, Querétaro, Tlaxcala, Veracruz De Ignacio De La Llave",Bodas,"Bodas (8); Bautizo (4); Bautizos (3); Confirmaciones (3); Fiestas patronales (3); Boda (2); Uso diario (2); Anterior mente es el traje de uso diario y ahora se usa en las fiestas patronales (1); Bodas, bautizos y mayodormías religiosas (1); Caminos (1); Campañas (1); Capas para la virgen Juquila (1); Clausuras (1); Comuniones (1); Concursos de arte popular (1); Cortinas para el sagrario (1); Danza (1); Desfiled (1); El otro en fiestas como bodas y recibimiento de presidentes (fiestas importantes) (1); El uso o de la enagua es en el día a día, solo cambia su uso dependiendo del huipil y el evento (1); En 15 años (1); En bodas (1); En eventos políticos (1); En las fiestas patronales, eventos culturales, días de fiesta y como prenda del diario (1); En las fiestas patronales, eventos culturales, días de fiesta y del diario (1); En las fiestas patronales,eventos culturales, días de fiesta y del diario (1); Eventos (1); Eventos culturales (1); Eventos especiales en las comunidades (1); Eventos políticos (1); Eventos sociales (1); Eventos tradicionales (1); Fiesta patronales (1); Guelaguetza, mayordomías, calendas. (1); Huipiles (1); Lo utilizan niñas para la procesión del 12 de Diciembre  que les ponen traje tradicional (1); Mayordomia (1); Mayordomía (1); Misas (1); Presentaciones (1); Reboso (1); Religion (1); Se ocupan en las bodas y ceremonia de bailas (1); Se usa en el día a día, ya que son las mas tradicionales y se adaptan a nuestras actividades cotidianas (1); Se usa en eventos importantes con bodas, bautizos, cumpleaños. (1); Servilletas (1); Son piezas de innovación en para el día a día (1); Son piezas de innovación para el día a día (1); Traje tico (1); Trajes de XV años (1); XV años (1); Y otros eventos (1); diario el de punto de cruz (1)",Camisas,"Camisas (10); Blusas (9); Caminos de mesa (6); Servilletas (5); Huipiles (3); Manteles (3); Rebosos (3); Vestidos (3); Batas (2); Blusa (2); Bolsas (2); Camisa (2); Fajas (2); Huipil (2); Monederos (2); Rebozos (2); Tortilleros (2); Vestido (2); Aretes (1); Blusa en bata de manga larga con dos pechos ( tiras) (1); Blusa tradicional de manga corta (1); Blusa tradicional en bata manga larga con un solo pecho (1); Blusas de laboratorio tradicionales (1); Bolsitas (1); Bufandas (1); Camino de mesa (1); Camisas de cajón (1); Camisas para caballero y dama (1); Capas (1); Cenefas (1); Cervilletas (1); Chal (1); Chalecos (1); Chalina (1); Cintas (1); Cojines (1); Cojintira (1); Cuadros (1); Diademas (1); Día demás (1); En Mrrales (1); En bisutería (1); En caminos de mesa (1); En chalecos (1); En cuadros de colección (1); En la enagua que Esparte de nuestro atuendo (1); En rebozos (1); En servilletas que se utilizan en las festividades patronales (1); Enagua (1); Enaguas antiguas y recientes (1); Faja de cintura (1); Fajas o señidor (1); Faldas (1); Fundas para almohadas (1); Guayabera (1); Guayaberas (1); Hipiles (1); Huipil bolsas (1); Huipil de gala (1); Huipil de uso diario (1); Huipil galas (1); Huipil media gala (1); Huipiles Ceremoniales o de Gala (1); Huipiles cortos de uso diario (1); Huiples (1); Kechkemitl (1); Mangas (1); Mantillas o rebozos (1); Nahuas (1); Pantalones (1); Pechera (1); Pulceras (1); Quechquemit (1); Quexquemilt (1); Quiskemetl (1); Reboso , (1); Rebozo (1); Refajos o enajuas (1); Ropaje de bautizo (1); Sacos (1); Telar de sintura (1); Thomicoton (1); Top crop (1); Traje completo (1); Traje típico de la region (1); Vestiditos (1); Vestido de novia (1); Vestido tradicional (1); Vestidos de niñas (1); Vestidos estilizados (1); Vestidos y huipules (1); blusa (1); caminos de mesa (1); capas (1); chlinas (1); huipil (1); ponchos (1); tomcoton (1); vestidos (1); Únicamente en el traje regional de hombre de las fiestas patronales y en la blusa de la mujer (1)",21,8,4,0,0,2,2,1,1,10,3,10,9,4,6,7,26,0,3,3,0,7,2,2,1
Hoja de pino,1,1,0,36,Chihuahua,Bodas,Bodas (1); Ceremonias (1),Blusas,Blusas (1); Canasta (1); Faldas (1); Huarcahe (1),0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Horquilla,1,1,0,36,Oaxaca,Fandango,Fandango (1),Blusas,Blusas (1); Fustanes (1),1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Huipil seremonial,1,1,0,35,Chiapas,Huipil ceremonial,Huipil ceremonial (1),Bolsas,Bolsas (1); Bufandas (1); Camino (1); Capa (1); Cosmetiquera (1); Huipil (1); Lapicera (1); Rebosos (1); Servilletas (1),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Ita'a kaxií,2,2,0,33,Guerrero,"En eventos cul, ceremonias del pueblo","En eventos cul, ceremonias del pueblo (1); Huipiles en la fiesta de san Miguel y de la virgencita de Guadalupe (1)",Huipil 20,Huipil 20 (1); Rebosa 10 (1); Servilleta 60 (1); falda50 (1),1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,2,0,0,1
Ivan bordado,1,1,0,54,Chihuahua,Uso diario,Uso diario (1),Blusa,Blusa (1); Reboso (1),1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1
Jaspeado,2,1,1,37,"México, Yucatán",La feria del rebozo,La feria del rebozo (1); La procesión del señor del rebozo (1); Vida cotidiana (1),Aretes,Aretes (1); Balerina (1); Blusas (1); Collares (1); Hipil (1); Pulseras (1); Rebozo de algodón (1); Solapas (1),1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
Jolobil,1,1,0,36,Chiapas,Tradicional,Tradicional (1),Culturales,Culturales (1); Símbolos (1); Tradicional (1),1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Ju ech'el o tamulamb'il,1,1,0,36,Chiapas,Ceremonias católicas de la iglesias,Ceremonias católicas de la iglesias (1); Eventos políticos de gobierno (1); Fiestas patronales (1),Para los alferez,Para los alferez (1); Para ropa de novios (1),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jun,1,1,0,60,Veracruz De Ignacio De La Llave,Corona de espinas,Corona de espinas (1),Blusa tipica,Blusa tipica (1),1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Kuil,1,1,0,21,Chiapas,Ceremoniales de santos patronales,Ceremoniales de santos patronales (1),Tradicional se utiliza en fiestas cultural y tradicional,Tradicional se utiliza en fiestas cultural y tradicional (1),0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Labrado,2,1,1,30,"Jalisco, Tlaxcala",Bailes tradicional (huehues),Bailes tradicional (huehues) (1); Eventos (1); Fiestas de los santos (1); Mayordomias (1); Para época de frio (1),Bolsas,Bolsas (1); Gaban (1); Quexquemetl (1); Rebozo (1); Sarapes (1),0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,2,1,0,0
Labrado de urdimbre,2,2,0,38,Oaxaca,Boda,Boda (1); Traje tradicional (1); Uso diario (1),Cotón,Cotón (1); Huipil (1); Indumentaria original (1); Morrales (1); Máteles (1),2,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,2,0,1,0
Lomillo,10,7,3,46,"Chiapas, Hidalgo, México, Oaxaca, Puebla, Tabasco",Boda,"Boda (2); Manteles (2); Atuendo (1); Bautizo (1); Bautizos (1); Bodas (1); Camisa (1); Camisas (1); Clausuras (1); Comuniones (1); Confirmaciones (1); Cotopayu utilizan Mayordomos y Priostes durante las fiestas grandes en honor Virgen de Candelaria y la del Rosario (1); Elección de la Flor Tabasco (1); En fiestas del pueblo (1); En las fiestas (1); En las fiestas de los santos del pueblo (1); Eventos especiales (1); Eventos sociales (1); Ferias Municipales (1); Fiesta del pueblo: san frsnsico de asiss (1); Fiestas patronales (1); Fundas de almohada (1); Huipil (1); Huipiles (1); Los manteles los usan para ceremonias del pueblo, como cuando hacen cambio de mayordomos (1); Los utilizan en bodas (1); Maromo Cultural de San Francisco de Asís en Tamulté de las sábanas, Centro, Tabasco. (1); Presentaciones (1); Primera Comunión (1); Se usaba para las bodas (1); Servilletas (1); Son para cubrir la copa del vino de los padres en la iglesia (1); Son utilizadas para las señoras (1); Vestido (1); Virgen del Rosario (1)",Rebozos,"Rebozos (5); Camisas (4); Manteles (4); Blusas (2); Caminos de mesa (2); Camisa (2); Faldas (2); Fundas de almohada (2); Huipiles cortos (2); Pulseras (2); Servilletas (2); Vestido (2); Accesorios (1); Algunos ornamentos religiosos (1); Aretes (1); Bandas bordadas (1); Blusa (1); Blusa, (1); Bolsas (1); Bolsas de bordados (1); Bufandas (1); Camisa tradicional mestiza (blusa mujer) el bordado lo utiliza en escote y las mangas, y se incorpora una técnica más de bordado sobre el tull (1); Camisas para caballero (1); Chalina (1); Cinturon (1); Cotopayú (Servilleta cuadrada tradicional) prenda de uso ceremonial y para algunas danzas (1); Cotón (camisa de hombres) el bordado se aplica en los pinos de la camisa (1); Cuadro para enmarcar (1); Diadema (1); Diademas (1); En blusas (1); En nuestra blusa tradicional (1); Fajas (1); Fajillas (1); Falda (1); Gafete (1); Guayaberas (1); Huipil Zoque (blusa de mujer) las mangas llevan el bordado (1); Huipiles (1); Huipiles ceremoniales (1); Monedero (1); Monederos o carteras (1); Morrales (1); Pañaleros o ropas de niños (1); Portavasos (1); Pulcera (1); Pulceras (1); Quesquemetl (1); Quexquemilt (1); Reboso , (1); Ruedos para la enagua en eventos (1); Sacos (1); Se puede utilizar en camisa (1); Separadores de libros (1); Separadores para libros (1); Thomicoton (1); Tiras (1); Toallas, fundas y sábanas (1); Vestidos (1)",8,2,3,0,0,0,2,0,1,5,3,2,3,2,4,4,10,0,0,0,0,3,0,0,1
Luch,1,1,0,27,Chiapas,En todo momento,En todo momento (1),En la prenda principal del traje tradicional,En la prenda principal del traje tradicional (1),1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
Luchbilltaaval,1,1,0,44,Chiapas,Mayordomos,Mayordomos (1),Blusas,Blusas (1); Bolsas para celular (1); Capas (1); Fundas (1); Monederos (1); Paleacate (1),1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
Macizo,13,13,0,48,"Oaxaca, Puebla, Tlaxcala, Yucatán",Bautizos,"Bautizos (4); Bodas (3); 15 años (2); Anteriormente se usaba en boda religiosa (1); Bautizo (1); Bodas de oro (1); Bodas, bautizos, XV años. (1); Ceremonia culturales (1); Ceremonia religiosa (1); Ceremonia tradicional (1); Cumpleaños (1); Danzas tradicionales (1); El diario (1); En bodas (1); Entierros (1); Es ropa típica de san pablo del monte (1); Escoltas (1); Eventos especiales (1); Festividades (1); Fiestas (1); Fiestas patronales (1); Fiestas tradiciones (1); Gremios (1); Jet'mek (1); Mayordomias (1); Misas (1); Para boda (1); Pasarelas (1); Presentación de 3 años (1); Rituales de las primicias (1); Todos los eventos religiosos,y ocasiones especiales  asta en el día de la muerte (1); Vaqueras del pueblos (1); Vaquerias (1); Vaquerías (1); Velas (1)",Blusas,"Blusas (5); Vestidos (5); Pañales (4); Ternos (4); Blusa (2); Guayaberas (2); Hipiles (2); Huipil (2); Huipiles (2); Manteles (2); Servilletas (2); Solapas (2); Accesorios,  prendedores (1); Algunos Refajos (1); Almohadas (1); Aretes (1); Bultos (1); Camisas (1); Capas para carnaval (1); Chal (1); El huipil (1); Enagua (1); Estandartes (1); Estandartes/ cuadros (1); Faldas (1); Hipil (1); Hipiles, Vestido para dama o niñas, guayaberas, pañales, manteles. (1); Huipiles ,blusas , ternos (1); Justanes (1); Manteles religiosos (1); Moños (1); Principalmente el traje de Gala completo, hupil y enagua (1); Reboso (1); Ropas d bebe (1); Sudarios (1); Sábanas y sobrecamas (1); Terno (1); Ternos  etc (1)",9,0,2,1,0,2,0,0,1,7,1,3,0,1,3,0,3,11,0,0,2,0,0,0,0
Macrame,1,1,0,36,Puebla,Bodas bautizo,Bodas bautizo (1),Faja tradicional xochipayo,Faja tradicional xochipayo (1),1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Malla o red,2,2,0,33,"Chiapas, Oaxaca",Blusas,"Blusas (1); Capas (1); Faldas, camisas, blusas (1); Fustanes y blusas (1)",Blusa,Blusa (2); Bolsas (1); Camisa (1); Capas (1); Falda (1); Fustán (1); Mañanitas (1),1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
Mañanita,1,0,1,39,Chiapas,Se usan en las fiestas tradicionales,Se usan en las fiestas tradicionales (1),"Los usan las personas, en público en jeneral","Los usan las personas, en público en jeneral (1)",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Media puntada,1,1,0,30,Puebla,NA,NA,Blusas,Blusas (1); Chales (1); Chalinas (1); Huipiles (1); Tomicoton (1),0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Mol miss,1,1,0,55,Campeche,Bautizo,"Bautizo (1); En fiestas culturales, (1)",Blusas,Blusas (1); Monederos (1); Servilletas (1); Vestidos (1),0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nii rididiva lunaá,1,1,0,66,Oaxaca,En bodas,En bodas (1); XV años (1); festividades (1),Estilizadas en blusas,Estilizadas en blusas (1); Huipiles (1); Traje de gala (1),1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Nëxuy,1,1,0,32,Oaxaca,Bautismo,Bautismo (1); Cambio de autoridades (1); Graduaciones (1),Blusas,Blusas (1); Bolsas (1); Bolsos (1); Camisas (1); Chaquetas (1); Diademas (1); Faldas (1); Mochilas (1); Pantalones (1); Vestidos (1),1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0
Ojitos,1,1,0,40,Veracruz De Ignacio De La Llave,NA,NA,Bufandas,Bufandas (1); Camino de mesa (1); Cobijas (1); Gabanes (1); Kechkemitl (1); Morrales (1); Rebozos (1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0
Otomí,1,1,0,42,Hidalgo,NA,NA,Blusas,Blusas (1); Caminos de mesa (1); Camisas (1); Chamarras (1); Cojines (1); Faldas (1); Portavasos (1); Sacos (1); Sudaderas (1); Vestidos (1),1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Otras,1,1,0,23,Oaxaca,Para portar el traje típico,Para portar el traje típico (1),Huipiles,Huipiles (1); Rebozos (1); Servilletas (1),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pata de gallo,9,7,2,49,"Guerrero, Hidalgo, Oaxaca",Bodas,"Bodas (3); Boda (1); Bodas donde se usa el traje tradicional. Diferenciado por llevar el nombre de la novia o la pareja y la fecha del evento (1); Bordado sobre prendas contemporáneas como vestidos de xv años, bodas, trajes para el novio (1); Camisas (1); Casualmente (1); Chamarras (1); Clausuras (1); Confirmacion (1); En 15 años (1); En bautizos y presentación de niños y bebés (1); En bodas (1); En decoración de interiores (1); En fiestas patronales (1); En las Bodas (1); En las guapanguiadas (1); Fiestas familiares con temáticas mexicas (1); Fiestas patronales (1); Fiestas tradiciones (1); Hipil en festividad patronal (1); Lienzos. Caminos y manteleria (1); Pantalon (1); Para la adoración del cerro para pedir agua el 3 de mayo (1); Primera comunion (1); Quezqueme (1); Rebozos (1); Ropa de bebe (1); Uso diario (1); Vestidos,, (1); XV años (1)",Blusas,"Blusas (4); Camisas (3); Vestidos (3); Faldas (2); Rebozos (2); Accesorios (1); Anillos (1); Aretes (1); Bolsas (1); Bordado de tenis (1); Camino de mesa (1); Camisas de lino y algodón para hombre (1); Camisas y blusas casuales (1); Chalinas (1); Chamarra (1); Cojines y cuadros con historias (1); Corredores de mesa (1); Cosmeticos (1); Cotones (1); Cuadros (1); Guayaberas (1); Hipil (1); Huipil (1); Huipiles (1); Incrustación de bordados con crochet (1); Llaveros (1); Mandiles (1); Manteleria (1); Manteles (1); Prendas confeccionadas (chamarras,  sudaderas, etcétera) (1); Rebosoz (1); Ropa (1); Ropa de niño y niña (1); Susaderas (1); Tapices (1); Tekuetles (traje tradicional de Acatlán) (1); Tenis (1); Tiras para camisa (1); Traje tradicional (1); Vestidos de alta costura para ceremonias (1); Vestidos de mujeres y jóvenes (1); Vestidos de novia (1); Vestidos para eventos sociales (1)",7,0,1,0,0,0,1,1,0,4,3,1,3,1,2,2,9,1,2,1,0,0,1,0,1
